action_type,complexity,created_at,dependencies,description,image_name,language,package_name,repo_name,source,star_count,tags,technology,title,usage_count,version
create_react,3,2019-08-08T03:03:45Z,,React boilerplate written in TypeScript with a variety of Jamstack and full stack deployments. Comes with SSR and without need to learn a framework. Helps to split a monolithic React app into multiple SPAs and avoid vendor lock-in.,,TypeScript,,winwiz1/crisp-react,github,,,react,,189,
create_react,2,2020-12-01T21:28:07Z,,"Ecommerce SPA application with a microservices architecture implemented from scratch. Tech stack - Docker, Consul, Fabio, RabbitMQ, .Net Core, Mediatr, CQRS, React, Redux. .NET Core Microservices template, .NET React Redux, .NET RabbitMQ, .NET Distributed, Docker, .NET Core with Docker.",,C#,,evgenirusev/Distributed-eStore,github,,,react,,122,
create_react,2,2018-05-01T11:19:20Z,,🌈 Webpack4 + Vue/React + TS (SPA or MPA) 面向实际工作流(开发 & 编译 & 打包 & 部署 & 上线)的脚手架，并提供docker镜像供快速构建。,,JavaScript,,pomelott/webpack4-cli,github,,,react,,121,
create_react,2,2017-03-21T10:00:40Z,,Example application that shows how to use Cowboy 2.0 in conjunction with React and Redux to create data driven Single Page Applications,,JavaScript,,Angarsk8/elixir-cowboy-react-spa,github,,,react,,115,
create_react,1,2015-09-16T05:58:15Z,,":package: Quick starter kit for booting up a NodeJS container with React, webpack, babel/ES2015, Redux, and more.",,JavaScript,,vutran/spa-starter-kit,github,,,react,,79,
create_react,1,2017-02-10T21:40:32Z,,Template for quickly setting up an SPA,,JavaScript,,ksafranski/spaq,github,,,react,,44,
create_react,1,2018-09-14T12:54:32Z,,An alpine-based nginx image for single page applications (SPA),,Dockerfile,,steebchen/nginx-spa,github,,,react,,33,
create_react,3,2018-03-22T20:49:50Z,,"Distributed System in Docker with Apache Kafka and Spark for big data streaming and visualisation (NodeJS, TypeScript, React, NestJS, Java)",,TypeScript,,zoltan-nz/kafka-spark-project,github,,,react,,23,
create_react,2,2020-09-29T11:51:53Z,,Respository for using session authentication with Django Rest Framework and React. Tutorial at https://medium.com/@kieron.mckenna/django-rest-framework-and-spa-session-authentication-with-docker-and-nginx-aa64871f29cd,,JavaScript,,kieronjmckenna/DRF-React-Auth,github,,,react,,22,
create_react,2,2018-03-24T09:48:28Z,,Contributions Welcome: A developer community for everyone with an interest in Technology & Meetups,,Python,,apoclyps/my-dev-space,github,,,react,,21,
configure_docker,1,2013-04-16T23:19:47,,,,,,,stackoverflow,,"[""docker"", ""virtual-machine""]",docker,How is Docker different from a virtual machine?,4495,
configure_docker,1,2014-06-20T05:54:16,,,,,,,stackoverflow,,"[""docker"", ""nginx"", ""docker-container"", ""docker-network""]",docker,"From inside of a Docker container, how do I connect to the localhost of the machine?",3544,
configure_docker,1,2014-07-25T16:31:20,,,,,,,stackoverflow,,"[""docker"", ""dockerfile""]",docker,What is the difference between the &#39;COPY&#39; and &#39;ADD&#39; commands in a Dockerfile?,3134,
configure_docker,1,2014-02-26T18:46:52,,,,,,,stackoverflow,,"[""docker"", ""docker-container"", ""file-copying""]",docker,Copying files from Docker container to host,3014,
configure_docker,1,2014-02-04T14:04:23,,,,,,,stackoverflow,,"[""docker"", ""docker-entrypoint"", ""docker-cmd""]",docker,What is the difference between CMD and ENTRYPOINT in a Dockerfile?,2867,
configure_docker,1,2014-04-07T10:28:55,,,,,,,stackoverflow,,"[""docker"", ""docker-container""]",docker,How to copy files from host to Docker container?,2572,
configure_docker,1,2015-05-11T18:12:30,,,,,,,stackoverflow,,"[""docker"", ""docker-container""]",docker,How do I get into a Docker container&#39;s shell?,2464,
configure_docker,1,2014-05-29T15:57:18,,,,,,,stackoverflow,,"[""docker""]",docker,How to copy Docker images from one host to another without using a repository,2420,
configure_docker,1,2013-06-18T00:10:22,,,,,,,stackoverflow,,"[""docker"", ""ip-address""]",docker,How to get a Docker container&#39;s IP address from the host,2252,
configure_docker,1,2013-05-20T12:05:25,,,,,,,stackoverflow,,"[""vagrant"", ""docker""]",docker,Should I use Vagrant or Docker for creating an isolated environment?,2209,
configure_docker,1,2016-02-24T07:37:48,,,,,,,stackoverflow,,"[""docker""]",docker,How to force Docker for a clean build of an image,1696,
configure_docker,1,2015-05-28T00:17:09,,,,,,,stackoverflow,,"[""docker"", ""environment-variables"", ""dockerfile""]",docker,How do I pass environment variables to Docker containers?,1515,
configure_docker,1,2013-06-21T15:41:42,,,,,,,stackoverflow,,"[""docker""]",docker,How to remove old Docker containers,1497,
